
Host: DatNguyenPC

Timers On : Tue Jun  4 14:44:11 2024
Timers Off: Tue Jun  4 14:57:49 2024

Wall Time:      818.17 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V_xc                                :      9.090p                          33678 calls
JK: D                               :      0.000u      0.000s      0.000w     17 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     17 calls
JK: JK                              :      0.000u      0.000s      0.140w     17 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.140w     17 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     17 calls
DFH: compute_J                      :      0.000u      0.000s      0.034w     17 calls
DFH: compute_K                      :      0.000u      0.000s      0.059w     17 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     17 calls
HF: Form F                          :      0.000u      0.000s      0.001w     17 calls
HF: Form D                          :      0.000u      0.000s      0.000w     17 calls
HF: DIIS                            :      0.000u      0.000s      0.286w     15 calls
HF: Form C                          :      0.000u      0.000s      0.021w     15 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.272w      2 calls
| build grid                        :      0.000u      0.000s      0.129w      2 calls
| post-process grid                 :      0.000u      0.000s      0.142w      2 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.018w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.012w      2 calls
DFH: initialize()                   :      0.000u      0.000s      0.224w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.018w     34 calls
| DFH: AO Construction              :      0.000u      0.000s      0.024w      2 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.040w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.021w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w      2 calls
HF: Guess                           :      0.000u      0.000s      0.163w      2 calls
| SAD Guess                         :      0.000u      0.000s      0.162w      2 calls
HF: Form G                          :      0.000u      0.000s      2.155w     17 calls
| RV: Form V                        :      0.000u      0.000s      2.012w     17 calls
| | Properties                      :      5.776p                          33678 calls
| | Functional                      :      9.214p                          33678 calls
| | V_xc                            :      9.090p                          33678 calls
| JK: D                             :      0.000u      0.000s      0.000w     17 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     17 calls
| JK: JK                            :      0.000u      0.000s      0.140w     17 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.140w     17 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     17 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.034w     17 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.059w     17 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     17 calls
HF: Form F                          :      0.000u      0.000s      0.001w     17 calls
HF: Form D                          :      0.000u      0.000s      0.000w     17 calls
HF: DIIS                            :      0.000u      0.000s      0.286w     15 calls
HF: Form C                          :      0.000u      0.000s      0.021w     15 calls

**************************************************************************************

Host: DatNguyenPC

Timers On : Tue Jun  4 16:43:23 2024
Timers Off: Tue Jun  4 16:50:13 2024

Wall Time:      410.32 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s     12.495w    150 calls
build grid                          :      0.000u      0.000s      5.806w    150 calls
post-process grid                   :      0.000u      0.000s      6.663w    150 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.798w    150 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      1.175w   1500 calls
DFH: initialize()                   :      0.000u      0.000s      6.589w    150 calls
DFH: AO Construction                :      0.000u      0.000s      0.623w    150 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.504w    150 calls
HF: Form core H                     :      0.000u      0.000s      1.573w    150 calls
HF: Form S/X                        :      0.000u      0.000s      0.121w    150 calls
HF: Guess                           :      0.000u      0.000s     15.454w    150 calls
SAD Guess                           :      0.000u      0.000s     15.321w    150 calls
HF: Form G                          :      0.000u      0.000s     98.037w   1408 calls
RV: Form V                          :      0.000u      0.000s     95.298w   1408 calls
Properties                          :     96.779p                         2089179 calls
Functional                          :    390.167p                         2089179 calls
V_xc                                :    268.773p                         2089179 calls
JK: D                               :      0.000u      0.000s      0.022w   1408 calls
JK: USO2AO                          :      0.000u      0.000s      0.003w   1408 calls
JK: JK                              :      0.000u      0.000s      2.612w   1408 calls
DFH: compute_JK()                   :      0.000u      0.000s      2.600w   1408 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w   1408 calls
DFH: compute_J                      :      0.000u      0.000s      0.689w   1408 calls
DFH: compute_K                      :      0.000u      0.000s      0.867w   1408 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w   1408 calls
HF: Form F                          :      0.000u      0.000s      0.032w   1408 calls
HF: Form D                          :      0.000u      0.000s      0.014w   1408 calls
HF: DIIS                            :      0.000u      0.000s      5.294w   1258 calls
HF: Form C                          :      0.000u      0.000s      1.051w   1258 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s     12.495w    150 calls
| build grid                        :      0.000u      0.000s      5.806w    150 calls
| post-process grid                 :      0.000u      0.000s      6.663w    150 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.798w    150 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.566w    150 calls
DFH: initialize()                   :      0.000u      0.000s      6.589w    150 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.609w   1350 calls
| DFH: AO Construction              :      0.000u      0.000s      0.623w    150 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.504w    150 calls
HF: Form core H                     :      0.000u      0.000s      1.573w    150 calls
HF: Form S/X                        :      0.000u      0.000s      0.121w    150 calls
HF: Guess                           :      0.000u      0.000s     15.454w    150 calls
| SAD Guess                         :      0.000u      0.000s     15.321w    150 calls
HF: Form G                          :      0.000u      0.000s     98.037w   1408 calls
| RV: Form V                        :      0.000u      0.000s     95.298w   1408 calls
| | Properties                      :     96.779p                         2089179 calls
| | Functional                      :    390.167p                         2089179 calls
| | V_xc                            :    268.773p                         2089179 calls
| JK: D                             :      0.000u      0.000s      0.022w   1408 calls
| JK: USO2AO                        :      0.000u      0.000s      0.003w   1408 calls
| JK: JK                            :      0.000u      0.000s      2.612w   1408 calls
| | DFH: compute_JK()               :      0.000u      0.000s      2.600w   1408 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w   1408 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.689w   1408 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.867w   1408 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w   1408 calls
HF: Form F                          :      0.000u      0.000s      0.032w   1408 calls
HF: Form D                          :      0.000u      0.000s      0.014w   1408 calls
HF: DIIS                            :      0.000u      0.000s      5.294w   1258 calls
HF: Form C                          :      0.000u      0.000s      1.051w   1258 calls

**************************************************************************************

Host: DatNguyenPC

Timers On : Tue Jun  4 16:50:20 2024
Timers Off: Tue Jun  4 17:18:36 2024

Wall Time:     1695.65 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s     20.527w    145 calls
build grid                          :      0.000u      0.000s      8.877w    145 calls
post-process grid                   :      0.000u      0.000s     11.620w    145 calls
DFH: sparsity prep                  :      0.000u      0.000s      1.733w    145 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      6.056w   5365 calls
DFH: initialize()                   :      0.000u      0.000s     20.747w    145 calls
DFH: AO Construction                :      0.000u      0.000s      2.395w    145 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      5.193w    145 calls
HF: Form core H                     :      0.000u      0.000s      1.426w    145 calls
HF: Form S/X                        :      0.000u      0.000s      0.228w    145 calls
HF: Guess                           :      0.000u      0.000s     13.142w    145 calls
SAD Guess                           :      0.000u      0.000s     13.027w    130 calls
HF: Form G                          :      0.000u      0.000s    261.313w   1783 calls
RV: Form V                          :      0.000u      0.000s    239.110w   1783 calls
Properties                          :   1236.169p                         3885288 calls
Functional                          :   1199.128p                         3885288 calls
V_xc                                :   1141.729p                         3595712 calls
JK: D                               :      0.000u      0.000s      0.055w   1783 calls
JK: USO2AO                          :      0.000u      0.000s      0.007w   1783 calls
JK: JK                              :      0.000u      0.000s     21.911w   1783 calls
DFH: compute_JK()                   :      0.000u      0.000s     21.874w   1783 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.002w   1783 calls
DFH: compute_J                      :      0.000u      0.000s      5.031w   1783 calls
DFH: compute_K                      :      0.000u      0.000s      9.947w   1783 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w   1783 calls
HF: Form F                          :      0.000u      0.000s      0.083w   1783 calls
HF: Form D                          :      0.000u      0.000s      0.040w   1783 calls
HF: DIIS                            :      0.000u      0.000s      8.271w   1653 calls
HF: Form C                          :      0.000u      0.000s      2.754w   1653 calls
Grad: V T Perturb                   :      0.000u      0.000s      1.530w    145 calls
Grad: S                             :      0.000u      0.000s      0.674w    145 calls
Grad: JK                            :      0.000u      0.000s    189.899w    145 calls
JKGrad: Amn                         :      0.000u      0.000s      8.774w    145 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w    145 calls
JKGrad: AB                          :      0.000u      0.000s      8.829w    145 calls
JKGrad: UV                          :      0.000u      0.000s    158.796w    145 calls
JKGrad: ABx                         :      0.000u      0.000s      0.923w    145 calls
JKGrad: Amnx                        :      0.000u      0.000s     12.029w    145 calls
Grad: XC                            :      0.000u      0.000s     90.740w    145 calls
V_xc gradient                       :    366.735p                         289576 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s     20.527w    145 calls
| build grid                        :      0.000u      0.000s      8.877w    145 calls
| post-process grid                 :      0.000u      0.000s     11.620w    145 calls
DFH: sparsity prep                  :      0.000u      0.000s      1.733w    145 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      1.201w    145 calls
DFH: initialize()                   :      0.000u      0.000s     20.747w    145 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      1.635w   2465 calls
| DFH: AO Construction              :      0.000u      0.000s      2.395w    145 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      5.193w    145 calls
HF: Form core H                     :      0.000u      0.000s      1.426w    145 calls
HF: Form S/X                        :      0.000u      0.000s      0.228w    145 calls
HF: Guess                           :      0.000u      0.000s     13.142w    145 calls
| SAD Guess                         :      0.000u      0.000s     13.027w    130 calls
HF: Form G                          :      0.000u      0.000s    261.313w   1783 calls
| RV: Form V                        :      0.000u      0.000s    239.110w   1783 calls
| | Properties                      :    739.406p                         3595712 calls
| | Functional                      :   1008.544p                         3595712 calls
| | V_xc                            :   1141.729p                         3595712 calls
| JK: D                             :      0.000u      0.000s      0.055w   1783 calls
| JK: USO2AO                        :      0.000u      0.000s      0.007w   1783 calls
| JK: JK                            :      0.000u      0.000s     21.911w   1783 calls
| | DFH: compute_JK()               :      0.000u      0.000s     21.874w   1783 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.002w   1783 calls
| | | DFH: compute_J                :      0.000u      0.000s      5.031w   1783 calls
| | | DFH: compute_K                :      0.000u      0.000s      9.947w   1783 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w   1783 calls
HF: Form F                          :      0.000u      0.000s      0.083w   1783 calls
HF: Form D                          :      0.000u      0.000s      0.040w   1783 calls
HF: DIIS                            :      0.000u      0.000s      8.271w   1653 calls
HF: Form C                          :      0.000u      0.000s      2.754w   1653 calls
Grad: V T Perturb                   :      0.000u      0.000s      1.530w    145 calls
Grad: S                             :      0.000u      0.000s      0.674w    145 calls
Grad: JK                            :      0.000u      0.000s    189.899w    145 calls
| JKGrad: Amn                       :      0.000u      0.000s      8.774w    145 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      1.497w    145 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w    145 calls
| JKGrad: AB                        :      0.000u      0.000s      8.829w    145 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.200w   2320 calls
| JKGrad: UV                        :      0.000u      0.000s    158.796w    145 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.923w    145 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.018w    145 calls
| JKGrad: Amnx                      :      0.000u      0.000s     12.029w    145 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      1.506w    145 calls
Grad: XC                            :      0.000u      0.000s     90.740w    145 calls
| Properties                        :    496.763p                         289576 calls
| Functional                        :    190.584p                         289576 calls
| V_xc gradient                     :    366.735p                         289576 calls

**************************************************************************************

Host: DatNguyenPC

Timers On : Tue Jun  4 17:18:47 2024
Timers Off: Tue Jun  4 17:27:44 2024

Wall Time:      536.24 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      1.803w      7 calls
build grid                          :      0.000u      0.000s      0.964w      7 calls
post-process grid                   :      0.000u      0.000s      0.836w      7 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.783w      8 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      2.638w    277 calls
DFH: initialize()                   :      0.000u      0.000s      4.582w      8 calls
DFH: AO Construction                :      0.000u      0.000s      1.082w      8 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      1.475w      8 calls
HF: Form core H                     :      0.000u      0.000s      0.275w      8 calls
HF: Form S/X                        :      0.000u      0.000s      0.039w      8 calls
HF: Guess                           :      0.000u      0.000s      0.383w      8 calls
SAD Guess                           :      0.000u      0.000s      0.380w      2 calls
HF: Form G                          :      0.000u      0.000s     28.128w     89 calls
RV: Form V                          :      0.000u      0.000s     23.503w     79 calls
Properties                          :    153.288p                         225967 calls
Functional                          :     93.139p                         225967 calls
V_xc                                :    123.859p                         207572 calls
JK: D                               :      0.000u      0.000s      0.027w    110 calls
JK: USO2AO                          :      0.000u      0.000s      0.018w    110 calls
JK: JK                              :      0.000u      0.000s     21.475w    110 calls
DFH: compute_JK()                   :      0.000u      0.000s     21.447w    110 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    110 calls
DFH: compute_J                      :      0.000u      0.000s      5.522w    110 calls
DFH: compute_K                      :      0.000u      0.000s     13.817w    110 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    110 calls
HF: Form F                          :      0.000u      0.000s      0.007w     89 calls
HF: Form D                          :      0.000u      0.000s      0.004w     89 calls
HF: DIIS                            :      0.000u      0.000s      0.629w     87 calls
HF: Form C                          :      0.000u      0.000s      0.347w     87 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.199w      7 calls
Grad: S                             :      0.000u      0.000s      0.074w      7 calls
Grad: JK                            :      0.000u      0.000s     29.755w      7 calls
JKGrad: Amn                         :      0.000u      0.000s      2.201w      7 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      7 calls
JKGrad: AB                          :      0.000u      0.000s      0.942w      7 calls
JKGrad: UV                          :      0.000u      0.000s     22.716w      7 calls
JKGrad: ABx                         :      0.000u      0.000s      0.100w      7 calls
JKGrad: Amnx                        :      0.000u      0.000s      3.757w      7 calls
Grad: XC                            :      0.000u      0.000s     11.337w      7 calls
V_xc gradient                       :     49.946p                          18395 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      1.803w      7 calls
| build grid                        :      0.000u      0.000s      0.964w      7 calls
| post-process grid                 :      0.000u      0.000s      0.836w      7 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.783w      8 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.525w      8 calls
DFH: initialize()                   :      0.000u      0.000s      4.582w      8 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.766w    136 calls
| DFH: AO Construction              :      0.000u      0.000s      1.082w      8 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      1.475w      8 calls
HF: Form core H                     :      0.000u      0.000s      0.275w      8 calls
HF: Form S/X                        :      0.000u      0.000s      0.039w      8 calls
HF: Guess                           :      0.000u      0.000s      0.383w      8 calls
| SAD Guess                         :      0.000u      0.000s      0.380w      2 calls
HF: Form G                          :      0.000u      0.000s     28.128w     89 calls
| RV: Form V                        :      0.000u      0.000s     23.503w     79 calls
| | Properties                      :     88.947p                         207572 calls
| | Functional                      :     72.526p                         207572 calls
| | V_xc                            :    123.859p                         207572 calls
| JK: D                             :      0.000u      0.000s      0.005w     89 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     89 calls
| JK: JK                            :      0.000u      0.000s      4.600w     89 calls
| | DFH: compute_JK()               :      0.000u      0.000s      4.595w     89 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     89 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.881w     89 calls
| | | DFH: compute_K                :      0.000u      0.000s      2.286w     89 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     89 calls
HF: Form F                          :      0.000u      0.000s      0.007w     89 calls
HF: Form D                          :      0.000u      0.000s      0.004w     89 calls
HF: DIIS                            :      0.000u      0.000s      0.629w     87 calls
HF: Form C                          :      0.000u      0.000s      0.347w     87 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.199w      7 calls
Grad: S                             :      0.000u      0.000s      0.074w      7 calls
Grad: JK                            :      0.000u      0.000s     29.755w      7 calls
| JKGrad: Amn                       :      0.000u      0.000s      2.201w      7 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.663w      7 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      7 calls
| JKGrad: AB                        :      0.000u      0.000s      0.942w      7 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.016w    112 calls
| JKGrad: UV                        :      0.000u      0.000s     22.716w      7 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.100w      7 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      7 calls
| JKGrad: Amnx                      :      0.000u      0.000s      3.757w      7 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.666w      7 calls
Grad: XC                            :      0.000u      0.000s     11.337w      7 calls
| Properties                        :     64.341p                          18395 calls
| Functional                        :     20.613p                          18395 calls
| V_xc gradient                     :     49.946p                          18395 calls
JK: D                               :      0.000u      0.000s      0.021w     21 calls
JK: USO2AO                          :      0.000u      0.000s      0.017w     21 calls
JK: JK                              :      0.000u      0.000s     16.875w     21 calls
| DFH: compute_JK()                 :      0.000u      0.000s     16.852w     21 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w     21 calls
| | DFH: compute_J                  :      0.000u      0.000s      4.641w     21 calls
| | DFH: compute_K                  :      0.000u      0.000s     11.531w     21 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     21 calls

**************************************************************************************

Host: DatNguyenPC

Timers On : Tue Jun  4 17:27:57 2024
Timers Off: Tue Jun  4 17:29:47 2024

Wall Time:      110.60 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: DatNguyenPC

Timers On : Tue Jun  4 17:29:51 2024
Timers Off: Tue Jun  4 17:47:41 2024

Wall Time:     1069.62 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s     28.180w    183 calls
build grid                          :      0.000u      0.000s     12.800w    183 calls
post-process grid                   :      0.000u      0.000s     15.344w    183 calls
DFH: sparsity prep                  :      0.000u      0.000s      1.880w    183 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      6.466w   6771 calls
DFH: initialize()                   :      0.000u      0.000s     22.311w    183 calls
DFH: AO Construction                :      0.000u      0.000s      2.576w    183 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      4.627w    183 calls
HF: Form core H                     :      0.000u      0.000s      1.834w    183 calls
HF: Form S/X                        :      0.000u      0.000s      0.235w    183 calls
HF: Guess                           :      0.000u      0.000s     14.295w    183 calls
SAD Guess                           :      0.000u      0.000s     14.143w    174 calls
HF: Form G                          :      0.000u      0.000s    338.893w   2081 calls
RV: Form V                          :      0.000u      0.000s    318.201w   2081 calls
Properties                          :   1587.602p                         4683952 calls
Functional                          :   1567.241p                         4683952 calls
V_xc                                :   1464.714p                         4312590 calls
JK: D                               :      0.000u      0.000s      0.057w   2081 calls
JK: USO2AO                          :      0.000u      0.000s      0.014w   2081 calls
JK: JK                              :      0.000u      0.000s     20.326w   2081 calls
DFH: compute_JK()                   :      0.000u      0.000s     20.287w   2081 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.002w   2081 calls
DFH: compute_J                      :      0.000u      0.000s      4.835w   2081 calls
DFH: compute_K                      :      0.000u      0.000s      8.916w   2081 calls
JK: AO2USO                          :      0.000u      0.000s      0.004w   2081 calls
HF: Form F                          :      0.000u      0.000s      0.099w   2081 calls
HF: Form D                          :      0.000u      0.000s      0.044w   2081 calls
HF: DIIS                            :      0.000u      0.000s      9.149w   1907 calls
HF: Form C                          :      0.000u      0.000s      2.918w   1907 calls
Grad: V T Perturb                   :      0.000u      0.000s      1.847w    183 calls
Grad: S                             :      0.000u      0.000s      0.801w    183 calls
Grad: JK                            :      0.000u      0.000s    204.608w    183 calls
JKGrad: Amn                         :      0.000u      0.000s     10.035w    183 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w    183 calls
JKGrad: AB                          :      0.000u      0.000s      9.669w    183 calls
JKGrad: UV                          :      0.000u      0.000s    169.891w    183 calls
JKGrad: ABx                         :      0.000u      0.000s      1.075w    183 calls
JKGrad: Amnx                        :      0.000u      0.000s     13.257w    183 calls
Grad: XC                            :      0.000u      0.000s    118.375w    183 calls
V_xc gradient                       :    495.626p                         371362 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s     28.180w    183 calls
| build grid                        :      0.000u      0.000s     12.800w    183 calls
| post-process grid                 :      0.000u      0.000s     15.344w    183 calls
DFH: sparsity prep                  :      0.000u      0.000s      1.880w    183 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      1.333w    183 calls
DFH: initialize()                   :      0.000u      0.000s     22.311w    183 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      1.754w   3111 calls
| DFH: AO Construction              :      0.000u      0.000s      2.576w    183 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      4.627w    183 calls
HF: Form core H                     :      0.000u      0.000s      1.834w    183 calls
HF: Form S/X                        :      0.000u      0.000s      0.235w    183 calls
HF: Guess                           :      0.000u      0.000s     14.295w    183 calls
| SAD Guess                         :      0.000u      0.000s     14.143w    174 calls
HF: Form G                          :      0.000u      0.000s    338.893w   2081 calls
| RV: Form V                        :      0.000u      0.000s    318.201w   2081 calls
| | Properties                      :    986.912p                         4312590 calls
| | Functional                      :   1305.299p                         4312590 calls
| | V_xc                            :   1464.714p                         4312590 calls
| JK: D                             :      0.000u      0.000s      0.057w   2081 calls
| JK: USO2AO                        :      0.000u      0.000s      0.014w   2081 calls
| JK: JK                            :      0.000u      0.000s     20.326w   2081 calls
| | DFH: compute_JK()               :      0.000u      0.000s     20.287w   2081 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.002w   2081 calls
| | | DFH: compute_J                :      0.000u      0.000s      4.835w   2081 calls
| | | DFH: compute_K                :      0.000u      0.000s      8.916w   2081 calls
| JK: AO2USO                        :      0.000u      0.000s      0.004w   2081 calls
HF: Form F                          :      0.000u      0.000s      0.099w   2081 calls
HF: Form D                          :      0.000u      0.000s      0.044w   2081 calls
HF: DIIS                            :      0.000u      0.000s      9.149w   1907 calls
HF: Form C                          :      0.000u      0.000s      2.918w   1907 calls
Grad: V T Perturb                   :      0.000u      0.000s      1.847w    183 calls
Grad: S                             :      0.000u      0.000s      0.801w    183 calls
Grad: JK                            :      0.000u      0.000s    204.608w    183 calls
| JKGrad: Amn                       :      0.000u      0.000s     10.035w    183 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      1.557w    183 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w    183 calls
| JKGrad: AB                        :      0.000u      0.000s      9.669w    183 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.241w   2928 calls
| JKGrad: UV                        :      0.000u      0.000s    169.891w    183 calls
| JKGrad: ABx                       :      0.000u      0.000s      1.075w    183 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.022w    183 calls
| JKGrad: Amnx                      :      0.000u      0.000s     13.257w    183 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      1.560w    183 calls
Grad: XC                            :      0.000u      0.000s    118.375w    183 calls
| Properties                        :    600.689p                         371362 calls
| Functional                        :    261.941p                         371362 calls
| V_xc gradient                     :    495.626p                         371362 calls

**************************************************************************************

Host: DatNguyenPC

Timers On : Tue Jun  4 17:47:55 2024
Timers Off: Tue Jun  4 18:49:51 2024

Wall Time:     3716.44 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      8.442w    187 calls
build grid                          :      0.000u      0.000s      3.066w    187 calls
post-process grid                   :      0.000u      0.000s      5.338w    187 calls
DFH: sparsity prep                  :      0.000u      0.000s      4.715w    187 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s     12.915w   6862 calls
DFH: initialize()                   :      0.000u      0.000s     15.369w    187 calls
DFH: AO Construction                :      0.000u      0.000s      1.287w    187 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      1.169w    187 calls
HF: Form core H                     :      0.000u      0.000s      1.496w    187 calls
HF: Form S/X                        :      0.000u      0.000s      0.193w    187 calls
HF: Guess                           :      0.000u      0.000s     62.390w    187 calls
SAD Guess                           :      0.000u      0.000s     62.273w    132 calls
HF: Form G                          :      0.000u      0.000s    121.084w   2039 calls
RV: Form V                          :      0.000u      0.000s    108.731w   2039 calls
Properties                          :    419.335p                         2264974 calls
Functional                          :    636.709p                         2264974 calls
V_xc                                :    436.894p                         2076636 calls
JK: D                               :      0.000u      0.000s      0.049w   2039 calls
JK: USO2AO                          :      0.000u      0.000s      0.007w   2039 calls
JK: JK                              :      0.000u      0.000s     12.066w   2039 calls
DFH: compute_JK()                   :      0.000u      0.000s     12.041w   2039 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.002w   2039 calls
DFH: compute_J                      :      0.000u      0.000s      2.018w   2039 calls
DFH: compute_K                      :      0.000u      0.000s      4.655w   2039 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w   2039 calls
HF: Form F                          :      0.000u      0.000s      0.092w   2039 calls
HF: Form D                          :      0.000u      0.000s      0.035w   2039 calls
HF: DIIS                            :      0.000u      0.000s      8.632w   1907 calls
HF: Form C                          :      0.000u      0.000s      1.991w   1907 calls
Grad: V T Perturb                   :      0.000u      0.000s      1.578w    184 calls
Grad: S                             :      0.000u      0.000s      0.715w    184 calls
Grad: JK                            :      0.000u      0.000s    166.064w    184 calls
JKGrad: Amn                         :      0.000u      0.000s      8.996w    184 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w    184 calls
JKGrad: AB                          :      0.000u      0.000s      6.950w    184 calls
JKGrad: UV                          :      0.000u      0.000s    137.558w    184 calls
JKGrad: ABx                         :      0.000u      0.000s      0.845w    184 calls
JKGrad: Amnx                        :      0.000u      0.000s     11.025w    184 calls
Grad: XC                            :      0.000u      0.000s     31.719w    184 calls
V_xc gradient                       :    113.335p                         188338 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      8.442w    187 calls
| build grid                        :      0.000u      0.000s      3.066w    187 calls
| post-process grid                 :      0.000u      0.000s      5.338w    187 calls
DFH: sparsity prep                  :      0.000u      0.000s      4.715w    187 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      3.157w    187 calls
